,Abbreviation,Political.leanings,Sex.ratio..male.to.female.,Age,Crime.rate,African American?%?,Urban(%),Urban.percentage.of.the.population....,Population(million),GDP...per.capita,Joe.Biden,Bernie.Sanders,Elizabeth.Warren,Micheal.Bloomberg,Pete.Buttigieg,Biden,Sanders,BidenM,SandersM,othersumM
1,AL,R,94.1,39.2,519.6,26.8,59,L,4.9,45241.5,286065,74755,25847,52750,1416,79,21,65,17,18
2,AZ,R,98.9,37.9,474.9,5.1,89.8,H,7.2,48448,92586,51117,22860,38213,7657,64,36,46,34,20
3,AR,R,96.1,38.3,543.6,15.7,56.2,L,3,42556,260608,193448,35353,54123,24782,57,43,44,24,32
4,CA,B,98.9,36.8,447.4,6.5,95,H,39.5,75215.4,1237944,1548025,604920,593022,230427,44,56,64,23,13
5,CO,B,95,36.9,397.2,4.6,86.2,H,5.7,64799.9,232183,346766,165677,175665,0,40,60,18,30,51
6,FL,R,95.5,42.2,384.9,16.9,91.2,H,21.2,48781.1,1077116,397091,32843,146539,39879,73,27,50,43,7
7,ID,R,101.2,36.6,227.1,0.9,70.6,L,1.8,43988.8,52679,45815,2865,2589,1405,53,47,55,38,8
8,IL,B,96.8,38.3,404.1,14.6,88.5,H,12.7,67954.1,924771,565762,22067,23809,9080,62,38,61,35,3
9,IA,R,98.3,38.2,250.1,4,64,L,3.1,60391.5,340,562,388,0,563,38,62,82,15,3
10,ME,B,96.1,44.9,112.1,1.6,38.7,L,1.3,48056.6,68396,65894,31514,24131,4180,51,49,46,26,28
11,MA,B,94.4,39.4,338.1,8.9,92,H,6.9,82418.2,470294,373173,299733,164689,37172,56,44,41,55,5
12,MI,R,97.2,39.8,449.4,14.1,74.6,H,10,52885,838564,576916,26051,73175,22374,59,41,42,27,31
13,MN,B,99.2,38.1,220.4,6.8,73.3,H,5.6,65697.6,287464,222530,114754,62064,7627,56,44,58,24,18
14,MS,R,94,37.7,234.4,37.8,49.3,L,3,38277.8,218538,39915,1416,6618,526,85,15,44,26,30
15,MO,R,96.2,38.7,502.1,11.8,70.4,L,6.1,51906,399439,229638,8115,9853,3301,63,37,37,32,32
16,NV,B,100.7,38.1,541.1,10.1,94.2,H,3,54768.5,2927,6788,1406,0,2073,30,70,20,37,43
17,NH,B,97.4,43,173.2,1.7,60.3,L,1.4,62589.1,24921,76324,27387,0,72457,25,75,64,33,3
18,NC,R,94.8,38.9,377.6,22.2,66.1,L,10.4,54500.4,568581,318872,138502,171823,43368,64,36,29,37,34
19,ND,R,106.1,35.2,280.6,3.4,59.9,L,0.8,72174.7,5742,7682,366,113,164,43,57,25,38,37
20,OK,R,97.8,36.7,466.1,7.8,66.2,L,3.9,50752.2,117552,77302,40676,42243,5113,60,40,60,37,4
21,SC,R,94.4,39.6,488.3,27.1,66.3,L,5.1,45308.2,256047,105197,37346,0,43606,71,29,35,28,37
22,TN,R,95.2,38.8,623.7,17.1,66.4,L,6.8,53990.3,215005,128688,53555,79638,17051,63,37,35,34,31
23,TX,R,98.6,34.8,410.9,12.8,84.7,H,28.6,62028.7,716030,622360,237028,298262,82221,53,47,41,32,27
24,UT,R,101.5,31,172,1.4,90.6,H,3.2,56233.8,38999,74478,34398,33262,18543,34,66,12,38,50
25,VT,B,96.8,42.8,200,1.4,38.9,L,0.6,54016,34734,80121,19816,14843,3714,30,70,22,51,26
26,VA,B,96.9,38.4,311.5,19.9,75.5,H,8.5,62866.8,705800,306024,142470,129784,11190,70,30,54,24,22
27,WA,B,100,37.7,289.9,4.3,84,H,7.5,74848.4,581891,560856,141597,121550,62955,51,49,23,52,25
28,WI,R,98.9,39.6,212.2,6.7,70.2,L,5.8,58024.5,581611,293652,14055,8965,4992,66,34,40,38,22
